DATE,Food_CPI,Lumber_PPI,Unemployment_Rate,Crude_Oil_WTI,Median_Home_Sales_Price,CPI_All_Urban_Consumers,Median_Household_Income,Federal_Minimum_Wage,Treasury_10yr,Treasury_2yr,PCE_Price_Index,Federal_Funds_Rate,M2_Money_Supply,Industrial_Production_Index,Retail_Sales,Credit_Card_Delinquency_Rate,Mortgage_Rate_30yr,Case_Shiller_Home_Price_Index,High_Yield_Credit_Spread,Student_Loan_Debt,Federal_Debt_Total,GDP_Growth_Rate,SP500,Gold_Price,Housing_Affordability_Index
1970-01,38.7,40.5,3.9,,23900.0,37.9,,1.6,7.794761904761905,,19.377,8.98,589.6,37.9948,,,,,,,372007.0,-0.1488917136788115,,,
1970-02,38.9,40.0,4.2,,24900.0,38.1,,1.6,7.238333333333333,,19.454,8.98,586.3,37.9698,,,,,,,368226.0,-0.1488917136788115,,,
1970-03,38.9,39.7,4.4,,23900.0,38.3,,1.6,7.072857142857143,,19.502,7.76,587.3,37.9205,,,,,,,372007.0,-0.1488917136788115,,,
1970-04,39.0,40.0,4.6,,24400.0,38.5,,1.6,7.390909090909091,,19.601,8.1,588.4,37.823,,,,,,,370094.0,0.14171841501762206,,,
1970-05,39.2,40.3,4.8,,23900.0,38.6,,1.6,7.906190476190476,,19.663,7.95,591.5,37.7789,,,,,,,372007.0,0.14171841501762206,,,
1970-06,39.2,40.0,4.9,,24400.0,38.8,,1.6,7.841818181818183,,19.714,7.61,595.2,37.6567,,,,,,,370094.0,0.14171841501762206,,,
1970-07,39.2,39.9,5.0,,23000.0,38.9,,1.6,7.457272727272727,,19.786,7.21,599.1,37.7491,,,,,,,378678.0,0.9214673849564647,,,
1970-08,39.2,40.1,5.1,,24400.0,39.0,,1.6,7.527142857142857,,19.838,6.62,604.9,37.6818,,,,,,,370094.0,0.9214673849564647,,,
1970-09,39.4,40.1,5.4,,23000.0,39.2,,1.6,7.38952380952381,,19.927,6.29,611.2,37.4221,,,,,,,378678.0,0.9214673849564647,,,
1970-10,39.5,39.7,5.5,,22600.0,39.4,,1.6,7.326666666666667,,20.026,6.2,616.4,36.6735,,,,,,,389158.0,-1.0715731732062195,,,
1970-11,39.5,39.3,5.9,,23000.0,39.6,,1.6,6.841111111111111,,20.105,5.6,621.1,36.4514,,,,,,,378678.0,-1.0715731732062195,,,
1970-12,39.5,39.0,6.1,,22600.0,39.8,,1.6,6.391363636363636,,20.194,4.9,626.5,37.2885,,,,,,,389158.0,-1.0715731732062195,,,
1971-01,39.4,39.4,5.9,,24300.0,39.9,,1.6,6.2385,,20.237,4.14,632.9,37.5753,,,,,,,391668.0,2.716149225838893,,,
1971-02,39.5,41.2,5.9,,22600.0,39.9,,1.6,6.112222222222222,,20.296,3.72,641.0,37.5037,,,,,,,389158.0,2.716149225838893,,,
1971-03,39.8,43.4,6.0,,24300.0,40.0,,1.6,5.7034782608695656,,20.363,3.71,649.9,37.4631,,,,,,,391668.0,2.716149225838893,,,
1971-04,40.1,43.9,5.9,,25800.0,40.1,,1.6,5.833809523809524,,20.443,4.16,658.4,37.6735,,,7.31,,,,397305.0,0.5408166883097643,,,
1971-05,40.3,44.0,5.9,,24300.0,40.3,,1.6,6.3925,,20.528,4.63,666.7,37.8646,,,7.425,,,,391668.0,0.5408166883097643,,,
1971-06,40.5,44.4,5.9,,25800.0,40.5,,1.6,6.522272727272727,,20.619,4.91,673.0,38.0234,,,7.529999999999999,,,,397305.0,0.5408166883097643,,,
1971-07,40.6,46.0,6.0,,25300.0,40.6,,1.6,6.729523809523809,,20.681,5.31,679.6,37.9131,,,7.604000000000001,,,,412268.0,0.8224468254407702,,,
1971-08,40.6,47.5,6.1,,25800.0,40.7,,1.6,6.582727272727272,,20.741,5.57,685.5,37.693,,,7.6975,,,,397305.0,0.8224468254407702,,,
1971-09,40.6,47.3,6.0,,25300.0,40.8,,1.6,6.13952380952381,,20.772,5.55,692.5,38.3056,,,7.6875,,,,412268.0,0.8224468254407702,,,
1971-10,40.7,46.4,5.8,,25500.0,40.9,,1.6,5.925789473684211,,20.804,5.2,698.4,38.5924,,,7.628,,,,424131.0,0.234864641128274,,,
1971-11,40.9,46.2,6.0,,25300.0,41.0,,1.6,5.8100000000000005,,20.847,4.91,704.6,38.7561,,,7.55,,,,412268.0,0.234864641128274,,,
1971-12,41.3,46.7,6.0,,25500.0,41.1,,1.6,5.926363636363636,,20.929,4.14,710.3,39.2035,,,7.4799999999999995,,,,424131.0,0.234864641128274,,,
1972-01,41.1,47.4,5.8,,26200.0,41.2,,1.6,5.947619047619048,,21.015,3.51,717.7,40.1408,,,7.4375,,,,427344.0,1.8372159119672382,,,
1972-02,41.7,48.4,5.7,,25500.0,41.4,,1.6,6.081,,21.098,3.3,725.7,40.5459,,,7.324999999999999,,,,424131.0,1.8372159119672382,,,
1972-03,41.6,49.0,5.8,,26200.0,41.4,,1.6,6.068636363636363,,21.128,3.83,733.5,40.8263,,,7.298,,,,427344.0,1.8372159119672382,,,
1972-04,41.6,49.6,5.7,,26800.0,41.5,,1.6,6.1945,,21.16,4.17,738.4,41.2348,,,7.29,,,,426435.0,2.2692875057543915,,,
1972-05,41.7,50.1,5.7,,26200.0,41.6,,1.6,6.126363636363636,,21.207,4.27,743.3,41.2405,,,7.3725000000000005,,,,427344.0,2.2692875057543915,,,
1972-06,41.9,50.6,5.7,,26800.0,41.7,,1.6,6.1068181818181815,,21.239,4.46,749.7,41.3497,,,7.372,,,,426435.0,2.2692875057543915,,,
1972-07,42.1,51.3,5.6,,27900.0,41.8,,1.6,6.113,,21.315,4.55,759.5,41.3035,,,7.3950000000000005,,,,433946.0,0.9440896315751957,,,
