DATE,FOOD_CPI,LUMBER_PPI,UNEMPLOYMENT_RATE_x,CRUDE_OIL_PRICES,GDP_GROWTH_RATE,EURO_OIL,MEDIAN_SALES_PRICE_HOUSES_SOLD,CONSUMER_PRICE_INDEX_ALL_URBAN_CONSUMERS,MEDIAN_HOUSEHOLD_INCOME,FEDERAL_MINIMUM_WAGE,10_YEAR_TREASURY_RATE,2_YEAR_TREASURY_RATE,PERSONAL_CONSUMPTION_EXPENDITURES_PRICE_INDEX,FEDERAL_FUNDS_RATE,MONEY_SUPPLY_M2,INDUSTRIAL_PRODUCTION_INDEX,UNEMPLOYMENT_RATE_y,RETAIL_SALES
2000-01,100,100,4,27.25947368,0.120931136,25.511,165300,169.3,71790,5.15,6.661,6.44,72.961,5.45,4667.6,91.4092,4,261545
2000-02,100.3623188,100.1088139,4.1,29.366,0.120931136,27.77571429,165300,170,71980,5.15,6.5195,6.6105,73.191,5.73,4680.9,91.7245,4.1,265686
2000-03,100.5434783,100.2176279,4,29.84173913,0.120931136,27.48608696,165300,171,71790,5.15,6.256521739,6.52826087,73.505,5.85,4711.7,92.083,4,269019
2000-04,100.6642512,99.56474429,3.8,25.72210526,0.607095938,22.76444444,163200,170.9,71790,5.15,5.990526316,6.403684211,73.444,6.02,4767.8,92.6659,3.8,264067
2000-05,101.02657,97.55168662,4,28.78818182,0.607095938,27.73761905,165300,171.2,71790,5.15,6.440454545,6.809545455,73.505,6.27,4755.7,92.9347,4,265992
2000-06,101.0869565,97.17083787,4,31.82227273,0.607095938,29.79545455,163200,172.2,71980,5.15,6.097272727,6.481818182,73.754,6.53,4773.6,93.0018,4,267750
2000-07,101.6304348,96.30032644,4,29.69684211,0.033977529,28.68238095,168800,172.7,71980,5.15,6.054,6.339,73.939,6.54,4791.3,92.8373,4,265683
2000-08,101.8719807,94.88574538,4.1,31.26391304,0.033977529,30.19608696,163200,172.7,71980,5.15,5.826086957,6.228695652,73.934,6.5,4819.5,92.591,4.1,266885
2000-09,101.9927536,94.72252448,3.9,33.884,0.033977529,33.1447619,168800,173.6,71980,5.15,5.799,6.0815,74.252,6.52,4855.2,92.9827,3.9,270523
2000-10,102.0531401,94.61371055,3.9,33.10863636,0.199012931,30.96090909,172900,173.9,71980,5.15,5.738571429,5.912380952,74.353,6.51,4871.3,92.64,3.9,270339
